Title;Date;Description;Link
مدير جامعة الوادي يشجع مبادرة “هيا يا شباب” ويؤكد: على تعزيز ثقافة المشاركة الديمقراطية للشباب ودورهم في بناء الجزائر الجديدة والمنتصرة;2025-11-12;"في أجواء وطنية مفعمة بروح المبادرة والانتماء، احتضنت جامعة الشهيد حمه لخضر بالوادي، اليوم الاثنين 10 نوفمبر 2025، فعاليات المبادرة الوطنية ""هيا يا شباب""، التي";https://www.univ-eloued.dz/ar/%d9%85%d8%af%d9%8a%d8%b1-%d8%ac%d8%a7%d9%85%d8%b9%d8%a9-%d8%a7%d9%84%d9%88%d8%a7%d8%af%d9%8a-%d9%8a%d8%b4%d8%ac%d8%b9-%d9%85%d8%a8%d8%a7%d8%af%d8%b1%d8%a9-%d9%87%d9%8a%d8%a7-%d9%8a%d8%a7-%d8%b4/
مدير جامعة الشهيد حمه لخضر بالوادي يُشرف على تدشين ستة مرافق جديدة بكلية العلوم الاجتماعية والإنسانية;2025-11-12;في أجواء أكاديمية مفعمة بروح العمل والتعاون، أشرف السيد مدير جامعة الشهيد حمه لخضر – الوادي، البروفيسور عمر فرحاتي، صباح اليوم الاثنين 10 نوفمبر 2025، على;https://www.univ-eloued.dz/ar/%d9%85%d8%af%d9%8a%d8%b1-%d8%ac%d8%a7%d9%85%d8%b9%d8%a9-%d8%a7%d9%84%d8%b4%d9%87%d9%8a%d8%af-%d8%ad%d9%85%d9%87-%d9%84%d8%ae%d8%b6%d8%b1-%d8%a8%d8%a7%d9%84%d9%88%d8%a7%d8%af%d9%8a-%d9%8a%d9%8f%d8%b4/
جامعة الشهيد حمه لخضر بالوادي تتوج طلبتها بمشاريع تخرج في صيغة “مؤسسة اقتصادية”;2025-11-12;"أشرف السيد مدير جامعة الشهيد حمه لخضر بالوادي، البروفيسور عمر فرحاتي، على حفل تسليم شهادات مشاريع التخرج في صيغة ""مؤسسة اقتصادية""، لفائدة دفعة من الطلبة";https://www.univ-eloued.dz/ar/%d8%ac%d8%a7%d9%85%d8%b9%d8%a9-%d8%a7%d9%84%d8%b4%d9%87%d9%8a%d8%af-%d8%ad%d9%85%d9%87-%d9%84%d8%ae%d8%b6%d8%b1-%d8%a8%d8%a7%d9%84%d9%88%d8%a7%d8%af%d9%8a-%d8%aa%d8%aa%d9%88%d8%ac-%d8%b7%d9%84%d8%a8/
مشاركة قسم العلوم الفلاحية بجامعة الشهيد حمه لخضر الوادي في إنطلاق موسم الحرث والبذر ببن قشة;2025-11-12;في إطار انفتاح الجامعة على محيطها الاقتصادي والاجتماعي، وبتوجيهات السيد مدير الجامعة البروفيسور عمر فرحاتي وبدعم من السيد عميد كلية علوم الطبيعة والحياة، شارك;https://www.univ-eloued.dz/ar/%d9%85%d8%b4%d8%a7%d8%b1%d9%83%d8%a9-%d9%82%d8%b3%d9%85-%d8%a7%d9%84%d8%b9%d9%84%d9%88%d9%85-%d8%a7%d9%84%d9%81%d9%84%d8%a7%d8%ad%d9%8a%d8%a9-%d8%a8%d8%ac%d8%a7%d9%85%d8%b9%d8%a9-%d8%a7%d9%84%d8%b4/
الفوج الثاني من معتمري جامعة الشهيد حمه لخضر ينطلق نحو البقاع المقدسة;2025-11-12;الفوج الثاني من معتمري جامعة الشهيد حمه لخضر ينطلق نحو البقاع المقدسة انطلق اليوم وفي هذه الليلة الفوج الثاني من معتمري جامعة الشهيد حمه لخضر – الوادي،;https://www.univ-eloued.dz/ar/%d8%a7%d9%84%d9%81%d9%88%d8%ac-%d8%a7%d9%84%d8%ab%d8%a7%d9%86%d9%8a-%d9%85%d9%86-%d9%85%d8%b9%d8%aa%d9%85%d8%b1%d9%8a-%d8%ac%d8%a7%d9%85%d8%b9%d8%a9-%d8%a7%d9%84%d8%b4%d9%87%d9%8a%d8%af-%d8%ad%d9%85/
‏جامعة الوادي تطلق حملة تحسيسية حول القرار رقم 008 المعدل والمتمم للقرار 1275 لتشجيع إعداد مذكرة تخرج والحصول على شهادة جامعية/مشروع مؤسسة اقتصادية;2025-11-06;‏جامعة الوادي تطلق حملة تحسيسية حول القرار رقم 008 المعدل والمتمم للقرار 1275 لتشجيع إعداد مذكرة تخرج والحصول على شهادة جامعية/مشروع مؤسسة اقتصادية في إطار;https://www.univ-eloued.dz/ar/%d8%ac%d8%a7%d9%85%d8%b9%d8%a9-%d8%a7%d9%84%d9%88%d8%a7%d8%af%d9%8a-%d8%aa%d8%b7%d9%84%d9%82-%d8%ad%d9%85%d9%84%d8%a9-%d8%aa%d8%ad%d8%b3%d9%8a%d8%b3%d9%8a%d8%a9-%d8%ad%d9%88%d9%84-%d8%a7/
Sustainable development GOALS – university eloued – Sustainable development GOALS – university eloued;;;https://www.univ-eloued.dz/sdg
البوابة الاعلامية;2024-10-25;This video is private.;https://www.univ-eloued.dz/media-portal/
السياسة الداخلية للجامعة;2024-11-28;السياسة الداخلية للجامعة سياسة دعم الأشخاص ذوي الإعاقة( AR) سياسة دعم الأشخاص ذوي الإعاقة(EN) سياسة مكافحة الرشوة والفساد AR) سياسة مكافحة الرشوة والفساد(EN);https://www.univ-eloued.dz/ar/our-policies-and-guidelines/
جديد الإستشارات والصفقات;2025-11-06;جديد الإستشارات والصفقات دفتر الشروط موضوع دفتر الشروط/الاستشارة آخر أجل لإيداع العروض 18/2025 اقتناء تجهيزات علمية موجهة لتدعيم التحكم في الأعمال التطبيقية;https://www.univ-eloued.dz/ar/announcement_requests_offers/
